Pathway,Gene,EnsemblID
rna.degradation,Pan2,ENSMUSG00000005682
rna.degradation,Cnot6,ENSMUSG00000020362
rna.degradation,Skiv2l,ENSMUSG00000040356
rna.degradation,Exosc4,ENSMUSG00000034259
rna.degradation,Btg1,ENSMUSG00000036478
rna.degradation,Btg2,ENSMUSG00000020423
rna.degradation,Btg3,ENSMUSG00000022863
rna.degradation,Ddx6,ENSMUSG00000032097
rna.degradation,Eno1,ENSMUSG00000063524
rna.degradation,Eno2,ENSMUSG00000004267
rna.degradation,Eno3,ENSMUSG00000060600
rna.degradation,Hspd1,ENSMUSG00000025980
rna.degradation,Hspa9,ENSMUSG00000024359
rna.degradation,Pabpc1,ENSMUSG00000022283
rna.degradation,Pabpc2,ENSMUSG00000051732
rna.degradation,Pfkl,ENSMUSG00000020277
rna.degradation,Pfkm,ENSMUSG00000033065
rna.degradation,Cnot7,ENSMUSG00000031601
rna.degradation,Btg1-ps2,ENSMUSG00000098348
rna.degradation,Papd7,ENSMUSG00000034575
rna.degradation,Dis3l,ENSMUSG00000032396
rna.degradation,Papd5,ENSMUSG00000036779
rna.degradation,Ttc37,ENSMUSG00000033991
rna.degradation,Tob1,ENSMUSG00000037573
rna.degradation,Patl1,ENSMUSG00000046139
rna.degradation,Exosc2,ENSMUSG00000039356
rna.degradation,Pabpc4,ENSMUSG00000011257
rna.degradation,Cnot6l,ENSMUSG00000034724
rna.degradation,Cnot3,ENSMUSG00000035632
rna.degradation,Cnot1,ENSMUSG00000036550
rna.degradation,Edc4,ENSMUSG00000036270
rna.degradation,Xrn1,ENSMUSG00000032410
rna.degradation,Xrn2,ENSMUSG00000027433
rna.degradation,Pabpc4l,ENSMUSG00000090919
rna.degradation,Lsm2,ENSMUSG00000007050
rna.degradation,Exosc5,ENSMUSG00000061286
rna.degradation,Dcp1b,ENSMUSG00000041477
rna.degradation,Zcchc7,ENSMUSG00000035649
rna.degradation,Pabpc1l,ENSMUSG00000054582
rna.degradation,Eno1b,ENSMUSG00000059040
rna.degradation,Btg1-ps1,ENSMUSG00000068173
rna.degradation,Lsm4,ENSMUSG00000031848
rna.degradation,Exosc9,ENSMUSG00000027714
rna.degradation,Exosc10,ENSMUSG00000017264
rna.degradation,Cnot4,ENSMUSG00000038784
rna.degradation,Btg4,ENSMUSG00000032056
rna.degradation,Pfkp,ENSMUSG00000021196
rna.degradation,Tob2,ENSMUSG00000048546
rna.degradation,C1d,ENSMUSG00000000581
rna.degradation,Rqcd1,ENSMUSG00000026174
rna.degradation,Lsm7,ENSMUSG00000035215
rna.degradation,Wdr61,ENSMUSG00000061559
rna.degradation,Exosc3,ENSMUSG00000028322
rna.degradation,Lsm5,ENSMUSG00000091625
rna.degradation,Exosc7,ENSMUSG00000025785
rna.degradation,Exosc1,ENSMUSG00000034321
rna.degradation,Lsm1,ENSMUSG00000037296
rna.degradation,Pabpc6,ENSMUSG00000046173
rna.degradation,Lsm3,ENSMUSG00000034192
rna.degradation,Mphosph6,ENSMUSG00000031843
rna.degradation,Cnot8,ENSMUSG00000020515
rna.degradation,Dcps,ENSMUSG00000032040
rna.degradation,Exosc8,ENSMUSG00000027752
rna.degradation,Dcp2,ENSMUSG00000024472
rna.degradation,Pnpt1,ENSMUSG00000020464
rna.degradation,Cnot2,ENSMUSG00000020166
rna.degradation,Dhx36,ENSMUSG00000027770
rna.degradation,Skiv2l2,ENSMUSG00000016018
rna.degradation,Pan3,ENSMUSG00000029647
rna.degradation,Dis3,ENSMUSG00000033166
rna.degradation,RP24-553E23.3,ENSMUSG00000032566
rna.degradation,Parn,ENSMUSG00000022685
rna.degradation,Nudt16,ENSMUSG00000032565
rna.degradation,Dcp1a,ENSMUSG00000021962
rna.degradation,Lsm8,ENSMUSG00000044155
rna.degradation,Lsm6,ENSMUSG00000031683
rna.degradation,Cnot10,ENSMUSG00000056167
rna.degradation,Pabpc5,ENSMUSG00000034732
